County Name and State,County Name,id,2020 Population,2021 Population,2022 Population,2020-2021 Percent Change,2021-2022 Percent Change,2020-2022 Percent Change,2020-2021 Raw Change,2021-2022 Raw Change,2020-2022 Raw Change
"Autauga County, Alabama",Autauga,1001,58902,59210,59759,0.52,0.93,1.45,308,549,857
"Baldwin County, Alabama",Baldwin,1003,233219,239361,246435,2.63,2.96,5.67,6142,7074,13216
"Barbour County, Alabama",Barbour,1005,24960,24539,24706,-1.69,0.68,-1.02,-421,167,-254
"Bibb County, Alabama",Bibb,1007,22183,22370,22005,0.84,-1.63,-0.80,187,-365,-178
"Blount County, Alabama",Blount,1009,59102,59085,59512,-0.03,0.72,0.69,-17,427,410
"Bullock County, Alabama",Bullock,1011,10296,10280,10202,-0.16,-0.76,-0.91,-16,-78,-94
"Butler County, Alabama",Butler,1013,19031,18855,18650,-0.92,-1.09,-2.00,-176,-205,-381
"Calhoun County, Alabama",Calhoun,1015,116239,115677,115788,-0.48,0.10,-0.39,-562,111,-451
"Chambers County, Alabama",Chambers,1017,34645,34446,34088,-0.57,-1.04,-1.61,-199,-358,-557
"Cherokee County, Alabama",Cherokee,1019,24972,25026,25302,0.22,1.10,1.32,54,276,330
"Chilton County, Alabama",Chilton,1021,45051,45259,45884,0.46,1.38,1.85,208,625,833
"Choctaw County, Alabama",Choctaw,1023,12619,12549,12439,-0.55,-0.88,-1.43,-70,-110,-180
"Clarke County, Alabama",Clarke,1025,22981,22715,22515,-1.16,-0.88,-2.03,-266,-200,-466
"Clay County, Alabama",Clay,1027,14211,14190,14198,-0.15,0.06,-0.09,-21,8,-13
"Cleburne County, Alabama",Cleburne,1029,15063,15148,15346,0.56,1.31,1.88,85,198,283
"Coffee County, Alabama",Coffee,1031,53547,54171,54805,1.17,1.17,2.35,624,634,1258
"Colbert County, Alabama",Colbert,1033,57299,57619,58033,0.56,0.72,1.28,320,414,734
"Conecuh County, Alabama",Conecuh,1035,11553,11320,11206,-2.02,-1.01,-3.00,-233,-114,-347
"Coosa County, Alabama",Coosa,1037,10341,10366,10166,0.24,-1.93,-1.69,25,-200,-175
"Covington County, Alabama",Covington,1039,37507,37542,37602,0.09,0.16,0.25,35,60,95
"Crenshaw County, Alabama",Crenshaw,1041,13165,13056,13025,-0.83,-0.24,-1.06,-109,-31,-140
"Cullman County, Alabama",Cullman,1043,88131,89618,90665,1.69,1.17,2.88,1487,1047,2534
"Dale County, Alabama",Dale,1045,49253,49412,49544,0.32,0.27,0.59,159,132,291
"Dallas County, Alabama",Dallas,1047,38174,37565,36767,-1.60,-2.12,-3.69,-609,-798,-1407
"DeKalb County, Alabama",DeKalb,1049,71648,71829,71998,0.25,0.24,0.49,181,169,350
"Elmore County, Alabama",Elmore,1051,87853,88737,89563,1.01,0.93,1.95,884,826,1710
"Escambia County, Alabama",Escambia,1053,36680,36658,36666,-0.06,0.02,-0.04,-22,8,-14
"Etowah County, Alabama",Etowah,1055,103447,103139,103088,-0.30,-0.05,-0.35,-308,-51,-359
"Fayette County, Alabama",Fayette,1057,16330,16155,16118,-1.07,-0.23,-1.30,-175,-37,-212
"Franklin County, Alabama",Franklin,1059,32075,31996,31932,-0.25,-0.20,-0.45,-79,-64,-143
"Geneva County, Alabama",Geneva,1061,26696,26667,26783,-0.11,0.43,0.33,-29,116,87
"Greene County, Alabama",Greene,1063,7702,7592,7422,-1.43,-2.24,-3.64,-110,-170,-280
"Hale County, Alabama",Hale,1065,14768,14737,14595,-0.21,-0.96,-1.17,-31,-142,-173
"Henry County, Alabama",Henry,1067,17175,17434,17655,1.51,1.27,2.79,259,221,480
"Houston County, Alabama",Houston,1069,107286,107453,108079,0.16,0.58,0.74,167,626,793
"Jackson County, Alabama",Jackson,1071,52545,52694,52891,0.28,0.37,0.66,149,197,346
"Jefferson County, Alabama",Jefferson,1073,674675,669997,665409,-0.69,-0.68,-1.37,-4678,-4588,-9266
"Lamar County, Alabama",Lamar,1075,13956,13740,13705,-1.55,-0.25,-1.80,-216,-35,-251
